transaction_id,store_id,sku,sale_ts,quantity,unit_price
T20240126000001,S002,SKU00035,2024-01-26 14:07:00,2,17.56
T20240126000002,S002,SKU00009,2024-01-26 10:08:00,1,7.39
T20240126000003,S002,SKU00045,2024-01-26 08:48:00,3,7.24
T20240126000004,S001,sku00025,2024-01-26 14:16:00,1,5.0
T20240126000005,S002,SKU00034,2024-01-26 15:41:00,1,7.65
T20240126000006,S002,SKU00045,2024-01-26 20:19:30,1,20.46
T20240126000007,S001,SKU00026,2024-01-26 12:51:30,4,10.48
T20240126000008,S001,SKU00034,2024-01-26 17:24:00,2,12.3
T20240126000009,S002,SKU00040,2024-01-26 21:54:00,1,23.35
T20240126000010,S002,SKU00036,2024-01-26 20:46:00,3,7.83
T20240126000011,S002,sku00009,2024-01-26 10:28:30,2,19.22
T20240126000012,S002, SKU00007 ,2024-01-26 20:07:00,2,8.73
T20240126000013,S002,SKU00004,2024-01-26 18:08:00,1,2.34
T20240126000014,S002,SKU00003,2024-01-26 19:42:00,1,10.66
T20240126000015,S002,SKU00001,2024-01-26 20:25:30,2,9.03
T20240126000016,S002,SKU00037,2024-01-26 13:11:00,4,18.1
T20240126000017,S002,SKU00041,2024-01-26 09:19:00,4,15.81
T20240126000018,S002,sku00014,2024-01-26 20:58:00,2,9.46
T20240126000019,S001,SKU00040,2024-01-26 19:49:00,1,2.97
T20240126000020,S002,SKU00003,2024-01-26 18:37:00,2,7.28
T20240126000021,S002,SKU00008,2024-01-26 08:58:30,2,14.0
T20240126000022,S002, SKU00031 ,2024-01-26 13:16:00,2,3.89
T20240126000023,S001,sku00016,2024-01-26 09:16:00,1,15.9
T20240126000024,S001,SKU00046,2024-01-26 09:06:30,1,9.26
T20240126000025,S002,SKU00037,2024-01-26 10:02:30,2,7.42
T20240126000026,S001,SKU00018,2024-01-26 08:00:00,3,1.61
T20240126000027,S001,SKU00026,2024-01-26 16:03:00,3,19.4
T20240126000028,S002,SKU00005,2024-01-26 20:11:00,1,5.46
T20240126000029,S002, SKU00003 ,2024-01-26 14:20:30,4,22.89
T20240126000030,S002,SKU00027,2024-01-26 18:25:00,2,2.91
T20240126000031,S002,SKU00006,2024-01-26 21:42:30,3,9.59
T20240126000032,S001,SKU00004,2024-01-26 18:42:00,4,21.23
T20240126000033,S002,sku00026,2024-01-26 19:27:30,1,22.85
T20240126000034,S002,SKU00004,2024-01-26 14:23:00,1,18.38
T20240126000035,S002,sku00035,2024-01-26 07:23:30,4,6.46
