transaction_id,store_id,sku,sale_ts,quantity,unit_price
T20240112000001,S001, sku00010 ,2024-01-12 20:03:00,1,19.69
T20240112000002,S002, sku00011 ,2024-01-12 08:24:00,2,19.29
T20240112000003,S001, SKU00017 ,2024-01-12 11:59:00,1,21.57
T20240112000004,S001,SKU00005,2024-01-12 11:36:00,1,2.43
T20240112000005,S001,sku00007,2024-01-12 10:48:00,1,14.42
T20240112000006,S001,SKU00005,2024-01-12 10:14:00,1,13.32
T20240112000007,S001,SKU00050,2024-01-12 13:02:00,2,11.03
T20240112000008,S001,SKU00011,2024-01-12 11:04:00,3,8.97
T20240112000009,S002,sku00029,2024-01-12 17:31:00,1,14.45
T20240112000010,S002, SKU00015 ,2024-01-12 17:56:00,2,19.27
T20240112000011,S002, SKU00006 ,2024-01-12 18:14:00,3,6.02
T20240112000012,S002,sku00045,2024-01-12 18:26:30,3,10.63
T20240112000013,S002,SKU00018,2024-01-12 14:31:30,1,13.73
T20240112000014,S001,SKU00038,2024-01-12 17:35:00,4,19.68
T20240112000015,S001,sku00005,2024-01-12 07:16:30,3,24.37
T20240112000016,S002,SKU00015,2024-01-12 11:40:00,2,7.03
T20240112000017,S001,SKU00010,2024-01-12 12:18:00,1,12.02
T20240112000018,S001, SKU00013 ,2024-01-12 09:07:00,4,15.11
T20240112000019,S002,sku00035,2024-01-12 20:26:00,2,14.32
T20240112000020,S002,SKU00043,2024-01-12 19:14:00,4,22.09
T20240112000021,S002,SKU00035,2024-01-12 21:03:00,1,15.91
T20240112000022,S002,SKU00016,2024-01-12 07:59:30,1,8.34
T20240112000023,S001,SKU00009,2024-01-12 10:55:30,2,16.58
T20240112000024,S001,SKU00050,2024-01-12 09:03:30,4,18.37
T20240112000025,S001,SKU00015,2024-01-12 14:18:00,1,19.85
T20240112000026,S002,sku00020,2024-01-12 11:08:00,1,1.97
T20240112000027,S002,SKU00005,2024-01-12 13:44:00,4,9.44
T20240112000028,S001,SKU00040,2024-01-12 11:31:00,1,16.1
T20240112000029,S002,sku00028,2024-01-12 14:02:00,2,14.91
T20240112000030,S002,sku00043,2024-01-12 07:45:00,1,1.53
T20240112000031,S001,sku00039,2024-01-12 14:35:00,2,22.49
T20240112000032,S002,SKU00019,2024-01-12 21:17:00,2,16.83
T20240112000033,S001,sku00004,2024-01-12 15:51:00,4,4.34
T20240112000034,S001,sku00002,2024-01-12 09:53:30,3,10.53
T20240112000035,S001,SKU00030,2024-01-12 19:22:00,1,3.77
T20240112000036,S001,SKU00028,2024-01-12 18:22:30,1,18.1
T20240112000037,S002, SKU00026 ,2024-01-12 08:59:30,4,1.07
T20240112000038,S002,sku00037,2024-01-12 13:14:00,1,13.79
T20240112000039,S002, SKU00010 ,2024-01-12 21:46:30,2,24.93
T20240112000040,S001,SKU00034,2024-01-12 13:53:00,1,14.23
T20240112000041,S001,sku00016,2024-01-12 16:26:00,1,23.82
T20240112000042,S001,SKU00042,2024-01-12 14:31:00,1,9.89
T20240112000043,S002,sku00028,2024-01-12 12:15:00,1,7.97
T20240112000044,S001, sku00004 ,2024-01-12 08:16:00,3,17.83
T20240112000045,S001,SKU00010,2024-01-12 08:22:00,4,9.73
T20240112000046,S001,SKU00044,2024-01-12 18:09:00,1,23.12
T20240112000047,S001,SKU00005,2024-01-12 10:40:30,3,19.7
T20240112000048,S001, sku00003 ,2024-01-12 14:02:00,2,2.72
T20240112000049,S002,sku00035,2024-01-12 09:10:00,3,11.7
T20240112000050,S002,SKU00003,2024-01-12 14:35:00,1,8.29
