transaction_id,store_id,sku,sale_ts,quantity,unit_price
T20240129000001,S001,SKU00037,2024-01-29 10:50:00,3,17.81
T20240129000002,S002, SKU00006 ,2024-01-29 18:45:00,1,17.85
T20240129000003,S002, sku00018 ,2024-01-29 19:09:00,3,5.6
T20240129000004,S002, SKU00010 ,2024-01-29 15:47:00,1,22.11
T20240129000005,S001,SKU00030,2024-01-29 10:29:00,1,8.54
T20240129000006,S002,SKU00027,2024-01-29 21:35:00,1,13.26
T20240129000007,S002,SKU00016,2024-01-29 09:30:00,3,17.82
T20240129000008,S001,sku00027,2024-01-29 15:01:00,4,2.61
T20240129000009,S001,SKU00011,2024-01-29 08:28:00,2,13.12
T20240129000010,S002, SKU00041 ,2024-01-29 21:35:00,3,5.2
T20240129000011,S002,sku00048,2024-01-29 14:45:30,1,12.86
T20240129000012,S001,sku00036,2024-01-29 11:03:00,4,23.65
T20240129000013,S002, SKU00011 ,2024-01-29 12:26:30,2,2.51
T20240129000014,S002,SKU00035,2024-01-29 17:00:00,4,18.35
T20240129000015,S001,SKU00025,2024-01-29 19:33:00,1,4.73
T20240129000016,S002,SKU00022,2024-01-29 12:19:00,2,16.08
T20240129000017,S001,sku00012,2024-01-29 14:40:30,2,21.26
T20240129000018,S002,SKU00002,2024-01-29 20:55:00,2,3.01
T20240129000019,S001, sku00018 ,2024-01-29 08:07:00,2,2.13
T20240129000020,S002,sku00036,2024-01-29 16:57:00,2,16.96
T20240129000021,S001,SKU00001,2024-01-29 14:40:30,3,12.88
T20240129000022,S001,SKU00042,2024-01-29 14:16:00,1,17.17
T20240129000023,S001,SKU00011,2024-01-29 21:17:00,2,2.88
T20240129000024,S002,SKU00047,2024-01-29 17:32:00,1,20.36
T20240129000025,S002, sku00029 ,2024-01-29 07:37:00,4,9.15
T20240129000026,S002,sku00007,2024-01-29 13:09:00,1,19.69
T20240129000027,S002,sku00035,2024-01-29 16:56:30,2,7.92
T20240129000028,S001,SKU00034,2024-01-29 21:24:30,2,18.19
T20240129000029,S001,SKU00033,2024-01-29 11:16:30,2,11.97
T20240129000030,S001,SKU00032,2024-01-29 17:24:00,1,23.58
T20240129000031,S001, SKU00012 ,2024-01-29 21:21:00,2,16.19
T20240129000032,S001, SKU00023 ,2024-01-29 17:52:30,2,11.23
T20240129000033,S002,SKU00003,2024-01-29 16:53:00,1,7.81
T20240129000034,S001,SKU00043,2024-01-29 10:03:00,1,5.68
T20240129000035,S001,SKU00013,2024-01-29 12:46:00,1,1.17
T20240129000036,S001,SKU00013,2024-01-29 18:33:00,3,17.46
T20240129000037,S001,UNKNOWNX,2024-01-29 16:33:00,1,20.06
T20240129000038,S001,SKU00040,2024-01-29 18:10:00,1,8.1
T20240129000039,S002,SKU00049,2024-01-29 07:26:00,3,3.87
T20240129000040,S002,SKU00034,2024-01-29 16:24:00,3,5.44
T20240129000041,S002,UNKNOWNX,2024-01-29 13:37:00,2,7.57
T20240129000042,S002, SKU00020 ,2024-01-29 07:50:30,1,23.71
T20240129000043,S001,UNKNOWNX,2024-01-29 13:49:00,1,6.42
T20240129000044,S001,SKU00040,2024-01-29 20:52:00,1,21.15
T20240129000045,S001,SKU00046,2024-01-29 18:30:30,2,7.28
T20240129000046,S002, SKU00036 ,2024-01-29 10:59:00,2,5.02
T20240129000047,S002,SKU00031,2024-01-29 13:42:00,1,24.73
T20240129000048,S002,SKU00048,2024-01-29 13:57:00,1,19.77
T20240129000049,S001,SKU00019,2024-01-29 13:30:00,1,20.37
T20240129000050,S001,SKU00037,2024-01-29 15:27:00,2,1.68
T20240129000051,S002,SKU00048,2024-01-29 10:48:30,3,24.6
T20240129000052,S001,SKU00043,2024-01-29 07:32:00,1,3.5
T20240129000053,S002, SKU00029 ,2024-01-29 07:53:00,2,7.53
T20240129000054,S001,SKU00027,2024-01-29 19:00:00,3,18.12
T20240129000055,S001,SKU00049,2024-01-29 11:26:00,2,10.5
T20240129000056,S002,SKU00020,2024-01-29 20:07:00,2,11.14
T20240129000057,S001,SKU00005,2024-01-29 08:45:00,1,24.7
T20240129000058,S001,sku00009,2024-01-29 21:36:00,1,11.89
T20240129000059,S001,SKU00015,2024-01-29 16:09:00,3,23.04
T20240129000060,S002, SKU00009 ,2024-01-29 14:39:00,1,1.22
T20240129000061,S002, SKU00031 ,2024-01-29 17:30:00,2,8.1
T20240129000062,S002,SKU00026,2024-01-29 10:30:00,2,23.32
T20240129000063,S001, sku00038 ,2024-01-29 15:10:30,3,7.14
T20240129000064,S002,SKU00035,2024-01-29 15:27:00,2,8.32
T20240129000065,S001,sku00004,2024-01-29 07:29:30,3,22.61
T20240129000066,S001, SKU00024 ,2024-01-29 20:35:30,2,14.35
T20240129000067,S001,SKU00042,2024-01-29 13:56:00,1,15.95
T20240129000068,S002,SKU00029,2024-01-29 17:33:30,1,19.87
T20240129000069,S002,SKU00034,2024-01-29 19:17:00,3,2.25
T20240129000070,S002,SKU00037,2024-01-29 08:38:30,3,7.08
T20240129000071,S001,SKU00001,2024-01-29 17:55:00,3,15.96
T20240129000072,S002,SKU00027,2024-01-29 17:06:00,2,23.98
T20240129000073,S001,UNKNOWNX,2024-01-29 08:11:00,1,17.45
T20240129000074,S001,SKU00009,2024-01-29 17:13:00,2,13.08
T20240129000075,S002, SKU00011 ,2024-01-29 07:26:30,2,13.92
T20240129000076,S002,SKU00002,2024-01-29 16:55:00,1,3.99
