transaction_id,store_id,sku,sale_ts,quantity,unit_price
T20240128000001,S001,SKU00005,2024-01-28 11:02:00,1,17.41
T20240128000002,S002,sku00049,2024-01-28 09:44:00,1,21.25
T20240128000003,S001,SKU00029,2024-01-28 16:47:00,2,21.65
T20240128000004,S002,SKU00042,2024-01-28 12:43:30,1,20.11
T20240128000005,S002,sku00022,2024-01-28 16:13:00,1,21.18
T20240128000006,S001,SKU00004,2024-01-28 17:09:00,2,20.38
T20240128000007,S001, SKU00035 ,2024-01-28 15:13:30,1,23.21
T20240128000008,S002,SKU00041,2024-01-28 20:45:00,1,17.54
T20240128000009,S001,SKU00005,2024-01-28 13:51:00,1,21.8
T20240128000010,S001, SKU00041 ,2024-01-28 18:57:30,3,13.05
T20240128000011,S001, sku00025 ,2024-01-28 07:50:00,1,23.36
T20240128000012,S001,SKU00018,2024-01-28 07:14:00,2,4.57
T20240128000013,S001,sku00001,2024-01-28 18:11:30,2,20.94
T20240128000014,S001,SKU00034,2024-01-28 14:00:30,3,24.5
T20240128000015,S001,SKU00022,2024-01-28 21:26:00,4,17.03
T20240128000016,S002,SKU00010,2024-01-28 20:59:00,1,7.68
T20240128000017,S001,SKU00031,2024-01-28 16:05:00,2,22.51
T20240128000018,S001,sku00012,2024-01-28 19:05:30,2,18.79
T20240128000019,S002,SKU00039,2024-01-28 13:11:30,2,22.14
T20240128000020,S001,SKU00024,2024-01-28 15:38:00,1,2.59
T20240128000021,S001, sku00048 ,2024-01-28 07:18:30,1,22.17
T20240128000022,S001,SKU00047,2024-01-28 07:53:00,2,1.28
T20240128000023,S001, SKU00050 ,2024-01-28 08:32:00,4,6.71
T20240128000024,S001,UNKNOWNX,2024-01-28 13:43:00,1,10.5
T20240128000025,S001, SKU00030 ,2024-01-28 12:12:00,4,11.13
T20240128000026,S002,SKU00045,2024-01-28 10:48:00,4,16.38
T20240128000027,S002,SKU00026,2024-01-28 17:09:30,3,16.06
T20240128000028,S002,sku00036,2024-01-28 14:11:30,3,13.63
T20240128000029,S002, SKU00041 ,2024-01-28 17:24:00,3,9.18
T20240128000030,S001,SKU00022,2024-01-28 16:41:00,4,3.2
T20240128000031,S001,sku00034,2024-01-28 09:21:00,1,7.56
T20240128000032,S001,SKU00038,2024-01-28 10:43:00,1,7.78
T20240128000033,S001,SKU00033,2024-01-28 18:33:00,2,10.37
T20240128000034,S002,SKU00041,2024-01-28 15:00:00,1,15.66
T20240128000035,S002,SKU00022,2024-01-28 11:55:00,3,1.69
T20240128000036,S001,SKU00016,2024-01-28 14:38:00,2,18.22
T20240128000037,S001,SKU00042,2024-01-28 19:25:00,1,17.2
T20240128000038,S002, SKU00032 ,2024-01-28 08:27:00,4,17.92
T20240128000039,S001,SKU00027,2024-01-28 13:45:00,1,20.61
T20240128000040,S001,SKU00042,2024-01-28 09:47:30,3,15.29
T20240128000041,S002,SKU00024,2024-01-28 20:52:00,1,17.32
T20240128000042,S001,SKU00050,2024-01-28 19:21:00,1,16.97
T20240128000043,S001,SKU00041,2024-01-28 17:09:00,2,12.06
T20240128000044,S001,SKU00044,2024-01-28 09:59:00,1,9.33
T20240128000045,S001, SKU00018 ,2024-01-28 18:29:30,2,7.83
T20240128000046,S002,UNKNOWNX,2024-01-28 18:18:00,3,2.43
